element,source_recipe_dir,source_filename,kind,library_family,library_name,cfour_name,label_suffix,cfour_label,status,note,cfour_file
La,recipes/La/ccECP,La.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,La:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/La/La.ccECP.cfour
Li,recipes/Li/ccECP,Li.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Li:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Li/Li.ccECP.cfour
Mg,recipes/Mg/ccECP,Mg.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Mg:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Mg/Mg.ccECP.cfour
Mn,recipes/Mn/ccECP,Mn.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Mn:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Mn/Mn.ccECP.cfour
Mo,recipes/Mo/ccECP,Mo.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Mo:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Mo/Mo.ccECP.cfour
N,recipes/N/ccECP,N.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,N:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/N/N.ccECP.cfour
Na,recipes/Na/ccECP,Na.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Na:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Na/Na.ccECP.cfour
Nb,recipes/Nb/ccECP,Nb.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Nb:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Nb/Nb.ccECP.cfour
Ne,recipes/Ne/ccECP,Ne.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Ne:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Ne/Ne.ccECP.cfour
Ni,recipes/Ni/ccECP,Ni.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Ni:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Ni/Ni.ccECP.cfour
O,recipes/O/ccECP,O.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,O:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/O/O.ccECP.cfour
P,recipes/P/ccECP,P.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,P:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/P/P.ccECP.cfour
Pb,recipes/Pb/ccECP,Pb.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Pb:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Pb/Pb.ccECP.cfour
Pd,recipes/Pd/ccECP,Pd.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Pd:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Pd/Pd.ccECP.cfour
Pt,recipes/Pt/ccECP,Pt.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Pt:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Pt/Pt.ccECP.cfour
Rb,recipes/Rb/ccECP,Rb.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Rb:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Rb/Rb.ccECP.cfour
Re,recipes/Re/ccECP,Re.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Re:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Re/Re.ccECP.cfour
Rh,recipes/Rh/ccECP,Rh.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Rh:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Rh/Rh.ccECP.cfour
Ru,recipes/Ru/ccECP,Ru.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Ru:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Ru/Ru.ccECP.cfour
S,recipes/S/ccECP,S.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,S:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/S/S.ccECP.cfour
Sb,recipes/Sb/ccECP,Sb.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Sb:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Sb/Sb.ccECP.cfour
Sc,recipes/Sc/ccECP,Sc.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Sc:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Sc/Sc.ccECP.cfour
Se,recipes/Se/ccECP,Se.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Se:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Se/Se.ccECP.cfour
Si,recipes/Si/ccECP,Si.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Si:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Si/Si.ccECP.cfour
