element,source_recipe_dir,source_filename,kind,library_family,library_name,cfour_name,label_suffix,cfour_label,status,note,cfour_file
H,recipes/H/ccECP,H.cc-pVQZ.gamess,basis,ccECP,cc-pVQZ,cc-pVQZ-ccECP,-ccECP,H:cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVQZ -> cc-pVQZ-ccECP,by_element/H/H.cc-pVQZ.cfour
H,recipes/H/ccECP,H.cc-pVTZ.gamess,basis,ccECP,cc-pVTZ,cc-pVTZ-ccECP,-ccECP,H:cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVTZ -> cc-pVTZ-ccECP,by_element/H/H.cc-pVTZ.cfour
He,recipes/He/ccECP,He.aug-cc-pV5Z.gamess,basis,ccECP,aug-cc-pV5Z,aug-cc-pV5Z-ccECP,-ccECP,He:aug-cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV5Z -> aug-cc-pV5Z-ccECP,by_element/He/He.aug-cc-pV5Z.cfour
He,recipes/He/ccECP,He.aug-cc-pV6Z.gamess,basis,ccECP,aug-cc-pV6Z,aug-cc-pV6Z-ccECP,-ccECP,He:aug-cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV6Z -> aug-cc-pV6Z-ccECP,by_element/He/He.aug-cc-pV6Z.cfour
He,recipes/He/ccECP,He.aug-cc-pVDZ.gamess,basis,ccECP,aug-cc-pVDZ,aug-cc-pVDZ-ccECP,-ccECP,He:aug-cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVDZ -> aug-cc-pVDZ-ccECP,by_element/He/He.aug-cc-pVDZ.cfour
He,recipes/He/ccECP,He.aug-cc-pVQZ.gamess,basis,ccECP,aug-cc-pVQZ,aug-cc-pVQZ-ccECP,-ccECP,He:aug-cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVQZ -> aug-cc-pVQZ-ccECP,by_element/He/He.aug-cc-pVQZ.cfour
He,recipes/He/ccECP,He.aug-cc-pVTZ.gamess,basis,ccECP,aug-cc-pVTZ,aug-cc-pVTZ-ccECP,-ccECP,He:aug-cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVTZ -> aug-cc-pVTZ-ccECP,by_element/He/He.aug-cc-pVTZ.cfour
He,recipes/He/ccECP,He.cc-pV5Z.gamess,basis,ccECP,cc-pV5Z,cc-pV5Z-ccECP,-ccECP,He:cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV5Z -> cc-pV5Z-ccECP,by_element/He/He.cc-pV5Z.cfour
He,recipes/He/ccECP,He.cc-pV6Z.gamess,basis,ccECP,cc-pV6Z,cc-pV6Z-ccECP,-ccECP,He:cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV6Z -> cc-pV6Z-ccECP,by_element/He/He.cc-pV6Z.cfour
He,recipes/He/ccECP,He.cc-pVDZ.gamess,basis,ccECP,cc-pVDZ,cc-pVDZ-ccECP,-ccECP,He:cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVDZ -> cc-pVDZ-ccECP,by_element/He/He.cc-pVDZ.cfour
He,recipes/He/ccECP,He.cc-pVQZ.gamess,basis,ccECP,cc-pVQZ,cc-pVQZ-ccECP,-ccECP,He:cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVQZ -> cc-pVQZ-ccECP,by_element/He/He.cc-pVQZ.cfour
He,recipes/He/ccECP,He.cc-pVTZ.gamess,basis,ccECP,cc-pVTZ,cc-pVTZ-ccECP,-ccECP,He:cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVTZ -> cc-pVTZ-ccECP,by_element/He/He.cc-pVTZ.cfour
I,recipes/I/ccECP,I.aug-cc-pV5Z.gamess,basis,ccECP,aug-cc-pV5Z,aug-cc-pV5Z-ccECP,-ccECP,I:aug-cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV5Z -> aug-cc-pV5Z-ccECP,by_element/I/I.aug-cc-pV5Z.cfour
I,recipes/I/ccECP,I.aug-cc-pV6Z.gamess,basis,ccECP,aug-cc-pV6Z,aug-cc-pV6Z-ccECP,-ccECP,I:aug-cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV6Z -> aug-cc-pV6Z-ccECP,by_element/I/I.aug-cc-pV6Z.cfour
I,recipes/I/ccECP,I.aug-cc-pVDZ.gamess,basis,ccECP,aug-cc-pVDZ,aug-cc-pVDZ-ccECP,-ccECP,I:aug-cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVDZ -> aug-cc-pVDZ-ccECP,by_element/I/I.aug-cc-pVDZ.cfour
I,recipes/I/ccECP,I.aug-cc-pVQZ.gamess,basis,ccECP,aug-cc-pVQZ,aug-cc-pVQZ-ccECP,-ccECP,I:aug-cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVQZ -> aug-cc-pVQZ-ccECP,by_element/I/I.aug-cc-pVQZ.cfour
I,recipes/I/ccECP,I.aug-cc-pVTZ.gamess,basis,ccECP,aug-cc-pVTZ,aug-cc-pVTZ-ccECP,-ccECP,I:aug-cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVTZ -> aug-cc-pVTZ-ccECP,by_element/I/I.aug-cc-pVTZ.cfour
I,recipes/I/ccECP,I.cc-pV5Z.gamess,basis,ccECP,cc-pV5Z,cc-pV5Z-ccECP,-ccECP,I:cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV5Z -> cc-pV5Z-ccECP,by_element/I/I.cc-pV5Z.cfour
I,recipes/I/ccECP,I.cc-pV6Z.gamess,basis,ccECP,cc-pV6Z,cc-pV6Z-ccECP,-ccECP,I:cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV6Z -> cc-pV6Z-ccECP,by_element/I/I.cc-pV6Z.cfour
I,recipes/I/ccECP,I.cc-pVDZ.gamess,basis,ccECP,cc-pVDZ,cc-pVDZ-ccECP,-ccECP,I:cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVDZ -> cc-pVDZ-ccECP,by_element/I/I.cc-pVDZ.cfour
I,recipes/I/ccECP,I.cc-pVQZ.gamess,basis,ccECP,cc-pVQZ,cc-pVQZ-ccECP,-ccECP,I:cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVQZ -> cc-pVQZ-ccECP,by_element/I/I.cc-pVQZ.cfour
I,recipes/I/ccECP,I.cc-pVTZ.gamess,basis,ccECP,cc-pVTZ,cc-pVTZ-ccECP,-ccECP,I:cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVTZ -> cc-pVTZ-ccECP,by_element/I/I.cc-pVTZ.cfour
Ir,recipes/Ir/ccECP,Ir.aug-cc-pCV5Z.gamess,basis,ccECP,aug-cc-pCV5Z,aug-cc-pCV5Z-ccECP,-ccECP,Ir:aug-cc-pCV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCV5Z -> aug-cc-pCV5Z-ccECP,by_element/Ir/Ir.aug-cc-pCV5Z.cfour
Ir,recipes/Ir/ccECP,Ir.aug-cc-pCVDZ.gamess,basis,ccECP,aug-cc-pCVDZ,aug-cc-pCVDZ-ccECP,-ccECP,Ir:aug-cc-pCVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVDZ -> aug-cc-pCVDZ-ccECP,by_element/Ir/Ir.aug-cc-pCVDZ.cfour
Ir,recipes/Ir/ccECP,Ir.aug-cc-pCVQZ.gamess,basis,ccECP,aug-cc-pCVQZ,aug-cc-pCVQZ-ccECP,-ccECP,Ir:aug-cc-pCVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVQZ -> aug-cc-pCVQZ-ccECP,by_element/Ir/Ir.aug-cc-pCVQZ.cfour
Ir,recipes/Ir/ccECP,Ir.aug-cc-pCVTZ.gamess,basis,ccECP,aug-cc-pCVTZ,aug-cc-pCVTZ-ccECP,-ccECP,Ir:aug-cc-pCVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVTZ -> aug-cc-pCVTZ-ccECP,by_element/Ir/Ir.aug-cc-pCVTZ.cfour
Ir,recipes/Ir/ccECP,Ir.aug-cc-pV5Z.gamess,basis,ccECP,aug-cc-pV5Z,aug-cc-pV5Z-ccECP,-ccECP,Ir:aug-cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV5Z -> aug-cc-pV5Z-ccECP,by_element/Ir/Ir.aug-cc-pV5Z.cfour
Ir,recipes/Ir/ccECP,Ir.aug-cc-pVDZ.gamess,basis,ccECP,aug-cc-pVDZ,aug-cc-pVDZ-ccECP,-ccECP,Ir:aug-cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVDZ -> aug-cc-pVDZ-ccECP,by_element/Ir/Ir.aug-cc-pVDZ.cfour
Ir,recipes/Ir/ccECP,Ir.aug-cc-pVQZ.gamess,basis,ccECP,aug-cc-pVQZ,aug-cc-pVQZ-ccECP,-ccECP,Ir:aug-cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVQZ -> aug-cc-pVQZ-ccECP,by_element/Ir/Ir.aug-cc-pVQZ.cfour
Ir,recipes/Ir/ccECP,Ir.aug-cc-pVTZ.gamess,basis,ccECP,aug-cc-pVTZ,aug-cc-pVTZ-ccECP,-ccECP,Ir:aug-cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVTZ -> aug-cc-pVTZ-ccECP,by_element/Ir/Ir.aug-cc-pVTZ.cfour
Ir,recipes/Ir/ccECP,Ir.cc-pCV5Z.gamess,basis,ccECP,cc-pCV5Z,cc-pCV5Z-ccECP,-ccECP,Ir:cc-pCV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCV5Z -> cc-pCV5Z-ccECP,by_element/Ir/Ir.cc-pCV5Z.cfour
Ir,recipes/Ir/ccECP,Ir.cc-pCVDZ.gamess,basis,ccECP,cc-pCVDZ,cc-pCVDZ-ccECP,-ccECP,Ir:cc-pCVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVDZ -> cc-pCVDZ-ccECP,by_element/Ir/Ir.cc-pCVDZ.cfour
Ir,recipes/Ir/ccECP,Ir.cc-pCVQZ.gamess,basis,ccECP,cc-pCVQZ,cc-pCVQZ-ccECP,-ccECP,Ir:cc-pCVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVQZ -> cc-pCVQZ-ccECP,by_element/Ir/Ir.cc-pCVQZ.cfour
Ir,recipes/Ir/ccECP,Ir.cc-pCVTZ.gamess,basis,ccECP,cc-pCVTZ,cc-pCVTZ-ccECP,-ccECP,Ir:cc-pCVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVTZ -> cc-pCVTZ-ccECP,by_element/Ir/Ir.cc-pCVTZ.cfour
Ir,recipes/Ir/ccECP,Ir.cc-pV5Z.gamess,basis,ccECP,cc-pV5Z,cc-pV5Z-ccECP,-ccECP,Ir:cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV5Z -> cc-pV5Z-ccECP,by_element/Ir/Ir.cc-pV5Z.cfour
Ir,recipes/Ir/ccECP,Ir.cc-pVDZ.gamess,basis,ccECP,cc-pVDZ,cc-pVDZ-ccECP,-ccECP,Ir:cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVDZ -> cc-pVDZ-ccECP,by_element/Ir/Ir.cc-pVDZ.cfour
Ir,recipes/Ir/ccECP,Ir.cc-pVQZ.gamess,basis,ccECP,cc-pVQZ,cc-pVQZ-ccECP,-ccECP,Ir:cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVQZ -> cc-pVQZ-ccECP,by_element/Ir/Ir.cc-pVQZ.cfour
Ir,recipes/Ir/ccECP,Ir.cc-pVTZ.gamess,basis,ccECP,cc-pVTZ,cc-pVTZ-ccECP,-ccECP,Ir:cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVTZ -> cc-pVTZ-ccECP,by_element/Ir/Ir.cc-pVTZ.cfour
K,recipes/K/ccECP,K.aug-cc-pCV5Z.gamess,basis,ccECP,aug-cc-pCV5Z,aug-cc-pCV5Z-ccECP,-ccECP,K:aug-cc-pCV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCV5Z -> aug-cc-pCV5Z-ccECP,by_element/K/K.aug-cc-pCV5Z.cfour
K,recipes/K/ccECP,K.aug-cc-pCV6Z.gamess,basis,ccECP,aug-cc-pCV6Z,aug-cc-pCV6Z-ccECP,-ccECP,K:aug-cc-pCV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCV6Z -> aug-cc-pCV6Z-ccECP,by_element/K/K.aug-cc-pCV6Z.cfour
K,recipes/K/ccECP,K.aug-cc-pCVDZ.gamess,basis,ccECP,aug-cc-pCVDZ,aug-cc-pCVDZ-ccECP,-ccECP,K:aug-cc-pCVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVDZ -> aug-cc-pCVDZ-ccECP,by_element/K/K.aug-cc-pCVDZ.cfour
K,recipes/K/ccECP,K.aug-cc-pCVQZ.gamess,basis,ccECP,aug-cc-pCVQZ,aug-cc-pCVQZ-ccECP,-ccECP,K:aug-cc-pCVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVQZ -> aug-cc-pCVQZ-ccECP,by_element/K/K.aug-cc-pCVQZ.cfour
K,recipes/K/ccECP,K.aug-cc-pCVTZ.gamess,basis,ccECP,aug-cc-pCVTZ,aug-cc-pCVTZ-ccECP,-ccECP,K:aug-cc-pCVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVTZ -> aug-cc-pCVTZ-ccECP,by_element/K/K.aug-cc-pCVTZ.cfour
K,recipes/K/ccECP,K.aug-cc-pV5Z.gamess,basis,ccECP,aug-cc-pV5Z,aug-cc-pV5Z-ccECP,-ccECP,K:aug-cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV5Z -> aug-cc-pV5Z-ccECP,by_element/K/K.aug-cc-pV5Z.cfour
K,recipes/K/ccECP,K.aug-cc-pV6Z.gamess,basis,ccECP,aug-cc-pV6Z,aug-cc-pV6Z-ccECP,-ccECP,K:aug-cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV6Z -> aug-cc-pV6Z-ccECP,by_element/K/K.aug-cc-pV6Z.cfour
K,recipes/K/ccECP,K.aug-cc-pVDZ.gamess,basis,ccECP,aug-cc-pVDZ,aug-cc-pVDZ-ccECP,-ccECP,K:aug-cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVDZ -> aug-cc-pVDZ-ccECP,by_element/K/K.aug-cc-pVDZ.cfour
K,recipes/K/ccECP,K.aug-cc-pVQZ.gamess,basis,ccECP,aug-cc-pVQZ,aug-cc-pVQZ-ccECP,-ccECP,K:aug-cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVQZ -> aug-cc-pVQZ-ccECP,by_element/K/K.aug-cc-pVQZ.cfour
K,recipes/K/ccECP,K.aug-cc-pVTZ.gamess,basis,ccECP,aug-cc-pVTZ,aug-cc-pVTZ-ccECP,-ccECP,K:aug-cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVTZ -> aug-cc-pVTZ-ccECP,by_element/K/K.aug-cc-pVTZ.cfour
K,recipes/K/ccECP,K.cc-pCV5Z.gamess,basis,ccECP,cc-pCV5Z,cc-pCV5Z-ccECP,-ccECP,K:cc-pCV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCV5Z -> cc-pCV5Z-ccECP,by_element/K/K.cc-pCV5Z.cfour
K,recipes/K/ccECP,K.cc-pCV6Z.gamess,basis,ccECP,cc-pCV6Z,cc-pCV6Z-ccECP,-ccECP,K:cc-pCV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCV6Z -> cc-pCV6Z-ccECP,by_element/K/K.cc-pCV6Z.cfour
K,recipes/K/ccECP,K.cc-pCVDZ.gamess,basis,ccECP,cc-pCVDZ,cc-pCVDZ-ccECP,-ccECP,K:cc-pCVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVDZ -> cc-pCVDZ-ccECP,by_element/K/K.cc-pCVDZ.cfour
K,recipes/K/ccECP,K.cc-pCVQZ.gamess,basis,ccECP,cc-pCVQZ,cc-pCVQZ-ccECP,-ccECP,K:cc-pCVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVQZ -> cc-pCVQZ-ccECP,by_element/K/K.cc-pCVQZ.cfour
K,recipes/K/ccECP,K.cc-pCVTZ.gamess,basis,ccECP,cc-pCVTZ,cc-pCVTZ-ccECP,-ccECP,K:cc-pCVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVTZ -> cc-pCVTZ-ccECP,by_element/K/K.cc-pCVTZ.cfour
K,recipes/K/ccECP,K.cc-pV5Z.gamess,basis,ccECP,cc-pV5Z,cc-pV5Z-ccECP,-ccECP,K:cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV5Z -> cc-pV5Z-ccECP,by_element/K/K.cc-pV5Z.cfour
K,recipes/K/ccECP,K.cc-pV6Z.gamess,basis,ccECP,cc-pV6Z,cc-pV6Z-ccECP,-ccECP,K:cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV6Z -> cc-pV6Z-ccECP,by_element/K/K.cc-pV6Z.cfour
K,recipes/K/ccECP,K.cc-pVDZ.gamess,basis,ccECP,cc-pVDZ,cc-pVDZ-ccECP,-ccECP,K:cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVDZ -> cc-pVDZ-ccECP,by_element/K/K.cc-pVDZ.cfour
K,recipes/K/ccECP,K.cc-pVQZ.gamess,basis,ccECP,cc-pVQZ,cc-pVQZ-ccECP,-ccECP,K:cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVQZ -> cc-pVQZ-ccECP,by_element/K/K.cc-pVQZ.cfour
K,recipes/K/ccECP,K.cc-pVTZ.gamess,basis,ccECP,cc-pVTZ,cc-pVTZ-ccECP,-ccECP,K:cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVTZ -> cc-pVTZ-ccECP,by_element/K/K.cc-pVTZ.cfour
Kr,recipes/Kr/ccECP,Kr.aug-cc-pV5Z.gamess,basis,ccECP,aug-cc-pV5Z,aug-cc-pV5Z-ccECP,-ccECP,Kr:aug-cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV5Z -> aug-cc-pV5Z-ccECP,by_element/Kr/Kr.aug-cc-pV5Z.cfour
Kr,recipes/Kr/ccECP,Kr.aug-cc-pV6Z.gamess,basis,ccECP,aug-cc-pV6Z,aug-cc-pV6Z-ccECP,-ccECP,Kr:aug-cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV6Z -> aug-cc-pV6Z-ccECP,by_element/Kr/Kr.aug-cc-pV6Z.cfour
Kr,recipes/Kr/ccECP,Kr.aug-cc-pVDZ.gamess,basis,ccECP,aug-cc-pVDZ,aug-cc-pVDZ-ccECP,-ccECP,Kr:aug-cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVDZ -> aug-cc-pVDZ-ccECP,by_element/Kr/Kr.aug-cc-pVDZ.cfour
Kr,recipes/Kr/ccECP,Kr.aug-cc-pVQZ.gamess,basis,ccECP,aug-cc-pVQZ,aug-cc-pVQZ-ccECP,-ccECP,Kr:aug-cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVQZ -> aug-cc-pVQZ-ccECP,by_element/Kr/Kr.aug-cc-pVQZ.cfour
Kr,recipes/Kr/ccECP,Kr.aug-cc-pVTZ.gamess,basis,ccECP,aug-cc-pVTZ,aug-cc-pVTZ-ccECP,-ccECP,Kr:aug-cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVTZ -> aug-cc-pVTZ-ccECP,by_element/Kr/Kr.aug-cc-pVTZ.cfour
Kr,recipes/Kr/ccECP,Kr.cc-pV5Z.gamess,basis,ccECP,cc-pV5Z,cc-pV5Z-ccECP,-ccECP,Kr:cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV5Z -> cc-pV5Z-ccECP,by_element/Kr/Kr.cc-pV5Z.cfour
Kr,recipes/Kr/ccECP,Kr.cc-pV6Z.gamess,basis,ccECP,cc-pV6Z,cc-pV6Z-ccECP,-ccECP,Kr:cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV6Z -> cc-pV6Z-ccECP,by_element/Kr/Kr.cc-pV6Z.cfour
Kr,recipes/Kr/ccECP,Kr.cc-pVDZ.gamess,basis,ccECP,cc-pVDZ,cc-pVDZ-ccECP,-ccECP,Kr:cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVDZ -> cc-pVDZ-ccECP,by_element/Kr/Kr.cc-pVDZ.cfour
Kr,recipes/Kr/ccECP,Kr.cc-pVQZ.gamess,basis,ccECP,cc-pVQZ,cc-pVQZ-ccECP,-ccECP,Kr:cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVQZ -> cc-pVQZ-ccECP,by_element/Kr/Kr.cc-pVQZ.cfour
Kr,recipes/Kr/ccECP,Kr.cc-pVTZ.gamess,basis,ccECP,cc-pVTZ,cc-pVTZ-ccECP,-ccECP,Kr:cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVTZ -> cc-pVTZ-ccECP,by_element/Kr/Kr.cc-pVTZ.cfour
La,recipes/La/ccECP,La.aug-cc-pCVDZ.gamess,basis,ccECP,aug-cc-pCVDZ,aug-cc-pCVDZ-ccECP,-ccECP,La:aug-cc-pCVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVDZ -> aug-cc-pCVDZ-ccECP,by_element/La/La.aug-cc-pCVDZ.cfour
La,recipes/La/ccECP,La.aug-cc-pCVQZ.gamess,basis,ccECP,aug-cc-pCVQZ,aug-cc-pCVQZ-ccECP,-ccECP,La:aug-cc-pCVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVQZ -> aug-cc-pCVQZ-ccECP,by_element/La/La.aug-cc-pCVQZ.cfour
La,recipes/La/ccECP,La.aug-cc-pCVTZ.gamess,basis,ccECP,aug-cc-pCVTZ,aug-cc-pCVTZ-ccECP,-ccECP,La:aug-cc-pCVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVTZ -> aug-cc-pCVTZ-ccECP,by_element/La/La.aug-cc-pCVTZ.cfour
La,recipes/La/ccECP,La.aug-cc-pVDZ.gamess,basis,ccECP,aug-cc-pVDZ,aug-cc-pVDZ-ccECP,-ccECP,La:aug-cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVDZ -> aug-cc-pVDZ-ccECP,by_element/La/La.aug-cc-pVDZ.cfour
La,recipes/La/ccECP,La.aug-cc-pVQZ.gamess,basis,ccECP,aug-cc-pVQZ,aug-cc-pVQZ-ccECP,-ccECP,La:aug-cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVQZ -> aug-cc-pVQZ-ccECP,by_element/La/La.aug-cc-pVQZ.cfour
La,recipes/La/ccECP,La.aug-cc-pVTZ.gamess,basis,ccECP,aug-cc-pVTZ,aug-cc-pVTZ-ccECP,-ccECP,La:aug-cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVTZ -> aug-cc-pVTZ-ccECP,by_element/La/La.aug-cc-pVTZ.cfour
La,recipes/La/ccECP,La.cc-pCVDZ.gamess,basis,ccECP,cc-pCVDZ,cc-pCVDZ-ccECP,-ccECP,La:cc-pCVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVDZ -> cc-pCVDZ-ccECP,by_element/La/La.cc-pCVDZ.cfour
La,recipes/La/ccECP,La.cc-pCVQZ.gamess,basis,ccECP,cc-pCVQZ,cc-pCVQZ-ccECP,-ccECP,La:cc-pCVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVQZ -> cc-pCVQZ-ccECP,by_element/La/La.cc-pCVQZ.cfour
La,recipes/La/ccECP,La.cc-pCVTZ.gamess,basis,ccECP,cc-pCVTZ,cc-pCVTZ-ccECP,-ccECP,La:cc-pCVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVTZ -> cc-pCVTZ-ccECP,by_element/La/La.cc-pCVTZ.cfour
La,recipes/La/ccECP,La.cc-pVDZ.gamess,basis,ccECP,cc-pVDZ,cc-pVDZ-ccECP,-ccECP,La:cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVDZ -> cc-pVDZ-ccECP,by_element/La/La.cc-pVDZ.cfour
