element,atomic_number,source_recipe_dir,source_filename,source_format,all_source_formats,library_family,library_name,cfour_name,label_suffix,cfour_label,ncore,n_explicit_electrons,lmax,local_channel,nonlocal_channels,n_terms_per_channel,radial_powers,precision_digits_per_format,radial_power_convention,local_channel_convention,name_transformation,validation,cfour_file
Sc,21,recipes/Sc/ccECP,Sc.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Sc:ccECP,10,11,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:147;gaussian:147;molpro:223;nwchem:147;plain:147,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Sc/Sc.ccECP.cfour
Se,34,recipes/Se/ccECP,Se.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Se:ccECP,28,6,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:288;gaussian:250;molpro:288;nwchem:288,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Se/Se.ccECP.cfour
Si,14,recipes/Si/ccECP,Si.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Si:ccECP,10,4,2,d,s-d;p-d,d:3;s-d:2;p-d:2,1;2;3,gamess:93;gaussian:93;molpro:93;nwchem:93,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Si/Si.ccECP.cfour
Sn,50,recipes/Sn/ccECP,Sn.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Sn:ccECP,46,4,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:73;gaussian:73;molpro:73;nwchem:73,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Sn/Sn.ccECP.cfour
Ta,73,recipes/Ta/ccECP,Ta.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Ta:ccECP,60,13,4,g,s-g;p-g;d-g;f-g,g:4;s-g:4;p-g:4;d-g:4;f-g:2,1;2;3;4,gamess:254;gaussian:254;molpro:254;nwchem:254,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ta/Ta.ccECP.cfour
Tb,65,recipes/Tb/ccECP,Tb.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Tb:ccECP,46,19,4,g,s-g;p-g;d-g;f-g,g:4;s-g:2;p-g:2;d-g:2;f-g:2,1;2;3,gamess:170;gaussian:170;molpro:170;nwchem:170,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Tb/Tb.ccECP.cfour
Te,52,recipes/Te/ccECP,Te.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Te:ccECP,46,6,3,f,s-f;p-f;d-f,f:3;s-f:2;p-f:4;d-f:2,1;2;3,gamess:131;gaussian:131;molpro:131;nwchem:131;plain:141,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Te/Te.ccECP.cfour
Ti,22,recipes/Ti/ccECP,Ti.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Ti:ccECP,10,12,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:148;gaussian:148;molpro:222;nwchem:148;plain:148,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ti/Ti.ccECP.cfour
V,23,recipes/V/ccECP,V.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,V:ccECP,10,13,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:147;gaussian:147;molpro:240;nwchem:147;plain:147,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/V/V.ccECP.cfour
W,74,recipes/W/ccECP,W.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,W:ccECP,60,14,4,g,s-g;p-g;d-g;f-g,g:4;s-g:2;p-g:3;d-g:3;f-g:2,1;2;3;4,gamess:195;gaussian:195;molpro:195;nwchem:195;plain:195,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/W/W.ccECP.cfour
Y,39,recipes/Y/ccECP,Y.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Y:ccECP,28,11,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:144;gaussian:144;molpro:144;nwchem:144,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Y/Y.ccECP.cfour
Zn,30,recipes/Zn/ccECP,Zn.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Zn:ccECP,10,20,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:152;gaussian:152;molpro:240;nwchem:152;plain:152,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Zn/Zn.ccECP.cfour
Zr,40,recipes/Zr/ccECP,Zr.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Zr:ccECP,28,12,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:143;gaussian:143;molpro:143;nwchem:143,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Zr/Zr.ccECP.cfour
