element,atomic_number,recipe_dir,library_family,ecp_source_files,ecp_source_used,ncore,n_explicit_electrons,lmax,local_ecp_channel,nonlocal_ecp_channels,n_basis_sets,basis_names,basis_source_formats,ecp_validation,anomalies
Ag,47,recipes/Ag/ccECP,ccECP,gamess=Ag.ccECP.gamess;gaussian=Ag.ccECP.gaussian;molpro=Ag.ccECP.molpro;nwchem=Ag.ccECP.nwchem;plain=Ag.ccECP,Ag.ccECP.gamess,28,19,3,f,s-f;p-f;d-f,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ag.ccECP.AREP.rpt;Ag.ccECP.AREP.upf;Ag.ccECP.AREP.xml;Ag.ccECP.SOREP.rpt;Ag.ccECP.SOREP.upf;Ag.ccECP.SOREP.xml;Ag.ccECP.dirac;autoauxc_jobs
Al,13,recipes/Al/ccECP,ccECP,gamess=Al.ccECP.gamess;gaussian=Al.ccECP.gaussian;molpro=Al.ccECP.molpro;nwchem=Al.ccECP.nwchem,Al.ccECP.gamess,10,3,2,d,s-d;p-d,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Al.ccECP.rpt;Al.ccECP.upf;Al.ccECP.xml;autoauxc_jobs
Ar,18,recipes/Ar/ccECP,ccECP,gamess=Ar.ccECP.gamess;gaussian=Ar.ccECP.gaussian;molpro=Ar.ccECP.molpro;nwchem=Ar.ccECP.nwchem,Ar.ccECP.gamess,10,8,2,d,s-d;p-d,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ar.ccECP.rpt;Ar.ccECP.upf;Ar.ccECP.xml;autoauxc_jobs
As,33,recipes/As/ccECP,ccECP,gamess=As.ccECP.gamess;gaussian=As.ccECP.gaussian;molpro=As.ccECP.molpro;nwchem=As.ccECP.nwchem,As.ccECP.gamess,28,5,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: As.ccECP.rpt;As.ccECP.upf;As.ccECP.xml;autoauxc_jobs
Au,79,recipes/Au/ccECP,ccECP,gamess=Au.ccECP.gamess;gaussian=Au.ccECP.gaussian;molpro=Au.ccECP.molpro;nwchem=Au.ccECP.nwchem;plain=Au.ccECP,Au.ccECP.gamess,60,19,4,g,s-g;p-g;d-g;f-g,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Au.ccECP.AREP.rpt;Au.ccECP.AREP.upf;Au.ccECP.AREP.xml;Au.ccECP.SOREP.rpt;Au.ccECP.SOREP.upf;Au.ccECP.SOREP.xml;Au.ccECP.dirac;autoauxc_jobs
B,5,recipes/B/ccECP,ccECP,gamess=B.ccECP.gamess;gaussian=B.ccECP.gaussian;molpro=B.ccECP.molpro;nwchem=B.ccECP.nwchem;plain=B.ccECP,B.ccECP.gamess,2,3,1,p,s-p,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: B.ccECP.rpt;B.ccECP.upf;B.ccECP.xml;autoauxc_jobs
Ba,56,recipes/Ba/ccECP,ccECP,gamess=Ba.ccECP.gamess;gaussian=Ba.ccECP.gaussian;molpro=Ba.ccECP.molpro;nwchem=Ba.ccECP.nwchem,Ba.ccECP.gamess,46,10,4,g,s-g;p-g;d-g;f-g,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ba.ccECP.AREP.rpt;Ba.ccECP.AREP.upf;Ba.ccECP.AREP.xml;Ba.ccECP.SOREP.rpt;Ba.ccECP.SOREP.upf;Ba.ccECP.SOREP.xml;Ba.ccECP.dirac;autoauxc_jobs
Be,4,recipes/Be/ccECP,ccECP,gamess=Be.ccECP.gamess;gaussian=Be.ccECP.gaussian;molpro=Be.ccECP.molpro;nwchem=Be.ccECP.nwchem,Be.ccECP.gamess,2,2,1,p,s-p,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Be.ccECP.rpt;Be.ccECP.upf;Be.ccECP.xml;autoauxc_jobs
Bi,83,recipes/Bi/ccECP,ccECP,gamess=Bi.ccECP.gamess;gaussian=Bi.ccECP.gaussian;molpro=Bi.ccECP.molpro;nwchem=Bi.ccECP.nwchem;plain=Bi.ccECP,Bi.ccECP.gamess,78,5,4,g,s-g;p-g;d-g;f-g,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Bi.ccECP.AREP.rpt;Bi.ccECP.AREP.upf;Bi.ccECP.AREP.xml;Bi.ccECP.SOREP.rpt;Bi.ccECP.SOREP.upf;Bi.ccECP.SOREP.xml;Bi.ccECP.dirac;autoauxc_jobs
Br,35,recipes/Br/ccECP,ccECP,gamess=Br.ccECP.gamess;gaussian=Br.ccECP.gaussian;molpro=Br.ccECP.molpro;nwchem=Br.ccECP.nwchem,Br.ccECP.gamess,28,7,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Br.ccECP.rpt;Br.ccECP.upf;Br.ccECP.xml;autoauxc_jobs
C,6,recipes/C/ccECP,ccECP,gamess=C.ccECP.gamess;gaussian=C.ccECP.gaussian;molpro=C.ccECP.molpro;nwchem=C.ccECP.nwchem;plain=C.ccECP,C.ccECP.gamess,2,4,1,p,s-p,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: C.ccECP.rpt;C.ccECP.upf;C.ccECP.xml;autoauxc_jobs
Ca,20,recipes/Ca/ccECP,ccECP,gamess=Ca.ccECP.gamess;gaussian=Ca.ccECP.gaussian;molpro=Ca.ccECP.molpro;nwchem=Ca.ccECP.nwchem,Ca.ccECP.gamess,10,10,2,d,s-d;p-d,20,aug-cc-pCV5Z;aug-cc-pCV6Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCV6Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ca.ccECP.rpt;Ca.ccECP.upf;Ca.ccECP.xml;autoauxc_jobs
Cd,48,recipes/Cd/ccECP,ccECP,gamess=Cd.ccECP.gamess;gaussian=Cd.ccECP.gaussian;molpro=Cd.ccECP.molpro;nwchem=Cd.ccECP.nwchem,Cd.ccECP.gamess,28,20,3,f,s-f;p-f;d-f,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Cd.ccECP.AREP.rpt;Cd.ccECP.AREP.upf;Cd.ccECP.AREP.xml;Cd.ccECP.SOREP.rpt;Cd.ccECP.SOREP.upf;Cd.ccECP.SOREP.xml;Cd.ccECP.dirac;autoauxc_jobs
Ce,58,recipes/Ce/ccECP,ccECP,gamess=Ce.ccECP.gamess;gaussian=Ce.ccECP.gaussian;molpro=Ce.ccECP.molpro;nwchem=Ce.ccECP.nwchem,Ce.ccECP.gamess,46,12,4,g,s-g;p-g;d-g;f-g,12,aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ce.ccECP.AREP.rpt;Ce.ccECP.AREP.upf;Ce.ccECP.AREP.xml;Ce.ccECP.SOREP.rpt;Ce.ccECP.SOREP.upf;Ce.ccECP.SOREP.xml;Ce.ccECP.dirac;autoauxc_jobs
Cl,17,recipes/Cl/ccECP,ccECP,gamess=Cl.ccECP.gamess;gaussian=Cl.ccECP.gaussian;molpro=Cl.ccECP.molpro;nwchem=Cl.ccECP.nwchem,Cl.ccECP.gamess,10,7,2,d,s-d;p-d,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Cl.ccECP.rpt;Cl.ccECP.upf;Cl.ccECP.xml;autoauxc_jobs
Co,27,recipes/Co/ccECP,ccECP,gamess=Co.ccECP.gamess;gaussian=Co.ccECP.gaussian;molpro=Co.ccECP.molpro;nwchem=Co.ccECP.nwchem;plain=Co.ccECP,Co.ccECP.gamess,10,17,2,d,s-d;p-d,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Co.ccECP.rpt_deprecated;Co.ccECP.upf_deprecated;Co.ccECP.xml;autoauxc_jobs
Cr,24,recipes/Cr/ccECP,ccECP,gamess=Cr.ccECP.gamess;gaussian=Cr.ccECP.gaussian;molpro=Cr.ccECP.molpro;nwchem=Cr.ccECP.nwchem;plain=Cr.ccECP,Cr.ccECP.gamess,10,14,2,d,s-d;p-d,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Cr.ccECP.rpt;Cr.ccECP.upf;Cr.ccECP.xml;autoauxc_jobs
Cs,55,recipes/Cs/ccECP,ccECP,gamess=Cs.ccECP.gamess;gaussian=Cs.ccECP.gaussian;molpro=Cs.ccECP.molpro;nwchem=Cs.ccECP.nwchem,Cs.ccECP.gamess,46,9,3,f,s-f;p-f;d-f,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Cs.ccECP.AREP.rpt;Cs.ccECP.AREP.upf;Cs.ccECP.AREP.xml;Cs.ccECP.SOREP.rpt;Cs.ccECP.SOREP.upf;Cs.ccECP.SOREP.xml;Cs.ccECP.dirac;autoauxc_jobs
Cu,29,recipes/Cu/ccECP,ccECP,gamess=Cu.ccECP.gamess;gaussian=Cu.ccECP.gaussian;molpro=Cu.ccECP.molpro;nwchem=Cu.ccECP.nwchem;plain=Cu.ccECP,Cu.ccECP.gamess,10,19,2,d,s-d;p-d,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Cu.ccECP.rpt_deprecated;Cu.ccECP.upf_deprecated;Cu.ccECP.xml;autoauxc_jobs
Eu,63,recipes/Eu/ccECP,ccECP,gamess=Eu.ccECP.gamess;gaussian=Eu.ccECP.gaussian;molpro=Eu.ccECP.molpro;nwchem=Eu.ccECP.nwchem,Eu.ccECP.gamess,46,17,4,g,s-g;p-g;d-g;f-g,12,aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Eu.ccECP.AREP.rpt;Eu.ccECP.AREP.upf;Eu.ccECP.AREP.xml;Eu.ccECP.SOREP.rpt;Eu.ccECP.SOREP.upf;Eu.ccECP.SOREP.xml;Eu.ccECP.dirac;autoauxc_jobs
F,9,recipes/F/ccECP,ccECP,gamess=F.ccECP.gamess;gaussian=F.ccECP.gaussian;molpro=F.ccECP.molpro;nwchem=F.ccECP.nwchem,F.ccECP.gamess,2,7,1,p,s-p,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: F.ccECP.rpt;F.ccECP.upf;F.ccECP.xml;autoauxc_jobs
Fe,26,recipes/Fe/ccECP,ccECP,gamess=Fe.ccECP.gamess;gaussian=Fe.ccECP.gaussian;molpro=Fe.ccECP.molpro;nwchem=Fe.ccECP.nwchem;plain=Fe.ccECP,Fe.ccECP.gamess,10,16,2,d,s-d;p-d,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Fe.ccECP.rpt_deprecated;Fe.ccECP.upf_deprecated;Fe.ccECP.xml;autoauxc_jobs
Ga,31,recipes/Ga/ccECP,ccECP,gamess=Ga.ccECP.gamess;gaussian=Ga.ccECP.gaussian;molpro=Ga.ccECP.molpro;nwchem=Ga.ccECP.nwchem,Ga.ccECP.gamess,28,3,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ga.ccECP.rpt;Ga.ccECP.upf;Ga.ccECP.xml;autoauxc_jobs
Gd,64,recipes/Gd/ccECP,ccECP,gamess=Gd.ccECP.gamess;gaussian=Gd.ccECP.gaussian;molpro=Gd.ccECP.molpro;nwchem=Gd.ccECP.nwchem,Gd.ccECP.gamess,46,18,4,g,s-g;p-g;d-g;f-g,12,aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Gd.ccECP.AREP.rpt;Gd.ccECP.AREP.upf;Gd.ccECP.AREP.xml;Gd.ccECP.SOREP.rpt;Gd.ccECP.SOREP.upf;Gd.ccECP.SOREP.xml;Gd.ccECP.dirac;autoauxc_jobs
Ge,32,recipes/Ge/ccECP,ccECP,gamess=Ge.ccECP.gamess;gaussian=Ge.ccECP.gaussian;molpro=Ge.ccECP.molpro;nwchem=Ge.ccECP.nwchem,Ge.ccECP.gamess,28,4,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ge.ccECP.rpt;Ge.ccECP.upf;Ge.ccECP.xml;autoauxc_jobs
H,1,recipes/H/ccECP,ccECP,gamess=H.ccECP.gamess;gaussian=H.ccECP.gaussian;molpro=H.ccECP.molpro;nwchem=H.ccECP.nwchem,H.ccECP.gamess,0,1,1,p,s-p,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: H.ccECP.rpt;H.ccECP.upf;H.ccECP.xml;autoauxc_jobs | NCORE=0: all electrons are explicit; the ccECP acts purely as a shape-consistent potential
He,2,recipes/He/ccECP,ccECP,gamess=He.ccECP.gamess;gaussian=He.ccECP.gaussian;molpro=He.ccECP.molpro;nwchem=He.ccECP.nwchem,He.ccECP.gamess,0,2,1,p,s-p,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: He.ccECP.rpt;He.ccECP.upf;He.ccECP.xml;autoauxc_jobs | NCORE=0: all electrons are explicit; the ccECP acts purely as a shape-consistent potential
I,53,recipes/I/ccECP,ccECP,gamess=I.ccECP.gamess;gaussian=I.ccECP.gaussian;molpro=I.ccECP.molpro;nwchem=I.ccECP.nwchem;plain=I.ccECP,I.ccECP.gamess,46,7,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: I.ccECP.AREP.rpt;I.ccECP.AREP.upf;I.ccECP.AREP.xml;I.ccECP.SOREP.rpt;I.ccECP.SOREP.upf;I.ccECP.SOREP.xml;I.ccECP.dirac;autoauxc_jobs
Ir,77,recipes/Ir/ccECP,ccECP,gamess=Ir.ccECP.gamess;gaussian=Ir.ccECP.gaussian;molpro=Ir.ccECP.molpro;nwchem=Ir.ccECP.nwchem;plain=Ir.ccECP,Ir.ccECP.gamess,60,17,4,g,s-g;p-g;d-g;f-g,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ir.ccECP.AREP.rpt;Ir.ccECP.AREP.upf;Ir.ccECP.AREP.xml;Ir.ccECP.SOREP.rpt;Ir.ccECP.SOREP.upf;Ir.ccECP.SOREP.xml;Ir.ccECP.dirac;autoauxc_jobs
K,19,recipes/K/ccECP,ccECP,gamess=K.ccECP.gamess;gaussian=K.ccECP.gaussian;molpro=K.ccECP.molpro;nwchem=K.ccECP.nwchem,K.ccECP.gamess,10,9,2,d,s-d;p-d,20,aug-cc-pCV5Z;aug-cc-pCV6Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCV6Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: K.ccECP.rpt;K.ccECP.upf;K.ccECP.xml;autoauxc_jobs
Kr,36,recipes/Kr/ccECP,ccECP,gamess=Kr.ccECP.gamess;gaussian=Kr.ccECP.gaussian;molpro=Kr.ccECP.molpro;nwchem=Kr.ccECP.nwchem,Kr.ccECP.gamess,28,8,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Kr.ccECP.rpt;Kr.ccECP.upf;Kr.ccECP.xml;autoauxc_jobs
