element,atomic_number,recipe_dir,library_family,ecp_source_files,ecp_source_used,ncore,n_explicit_electrons,lmax,local_ecp_channel,nonlocal_ecp_channels,n_basis_sets,basis_names,basis_source_formats,ecp_validation,anomalies
O,8,recipes/O/ccECP,ccECP,gamess=O.ccECP.gamess;gaussian=O.ccECP.gaussian;molpro=O.ccECP.molpro;nwchem=O.ccECP.nwchem;plain=O.ccECP,O.ccECP.gamess,2,6,1,p,s-p,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: O.ccECP.rpt;O.ccECP.upf;O.ccECP.xml;autoauxc_jobs
P,15,recipes/P/ccECP,ccECP,gamess=P.ccECP.gamess;gaussian=P.ccECP.gaussian;molpro=P.ccECP.molpro;nwchem=P.ccECP.nwchem,P.ccECP.gamess,10,5,2,d,s-d;p-d,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: P.ccECP.rpt;P.ccECP.upf;P.ccECP.xml;autoauxc_jobs
Pb,82,recipes/Pb/ccECP,ccECP,gamess=Pb.ccECP.gamess;gaussian=Pb.ccECP.gaussian;molpro=Pb.ccECP.molpro;nwchem=Pb.ccECP.nwchem,Pb.ccECP.gamess,78,4,4,g,s-g;p-g;d-g;f-g,8,aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Pb.ccECP.AREP.rpt;Pb.ccECP.AREP.upf;Pb.ccECP.AREP.xml;Pb.ccECP.SOREP.rpt;Pb.ccECP.SOREP.upf;Pb.ccECP.SOREP.xml;Pb.ccECP.dirac;autoauxc_jobs
Pd,46,recipes/Pd/ccECP,ccECP,gamess=Pd.ccECP.gamess;gaussian=Pd.ccECP.gaussian;molpro=Pd.ccECP.molpro;nwchem=Pd.ccECP.nwchem;plain=Pd.ccECP,Pd.ccECP.gamess,28,18,3,f,s-f;p-f;d-f,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Pd.ccECP.AREP.rpt;Pd.ccECP.AREP.upf;Pd.ccECP.AREP.xml;Pd.ccECP.SOREP.rpt;Pd.ccECP.SOREP.upf;Pd.ccECP.SOREP.xml;Pd.ccECP.dirac;autoauxc_jobs
Pt,78,recipes/Pt/ccECP,ccECP,gamess=Pt.ccECP.gamess;gaussian=Pt.ccECP.gaussian;molpro=Pt.ccECP.molpro;nwchem=Pt.ccECP.nwchem,Pt.ccECP.gamess,60,18,4,g,s-g;p-g;d-g;f-g,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Pt.ccECP.AREP.rpt;Pt.ccECP.AREP.upf;Pt.ccECP.AREP.xml;Pt.ccECP.SOREP.rpt;Pt.ccECP.SOREP.upf;Pt.ccECP.SOREP.xml;Pt.ccECP.dirac;autoauxc_jobs
Rb,37,recipes/Rb/ccECP,ccECP,gamess=Rb.ccECP.gamess;gaussian=Rb.ccECP.gaussian;molpro=Rb.ccECP.molpro;nwchem=Rb.ccECP.nwchem,Rb.ccECP.gamess,28,9,3,f,s-f;p-f;d-f,20,aug-cc-pCV5Z;aug-cc-pCV6Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCV6Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Rb.ccECP.AREP.rpt;Rb.ccECP.AREP.upf;Rb.ccECP.AREP.xml;Rb.ccECP.SOREP.rpt;Rb.ccECP.SOREP.upf;Rb.ccECP.SOREP.xml;Rb.ccECP.dirac;autoauxc_jobs
Re,75,recipes/Re/ccECP,ccECP,gamess=Re.ccECP.gamess;gaussian=Re.ccECP.gaussian;molpro=Re.ccECP.molpro;nwchem=Re.ccECP.nwchem,Re.ccECP.gamess,60,15,4,g,s-g;p-g;d-g;f-g,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Re.ccECP.AREP.rpt;Re.ccECP.AREP.upf;Re.ccECP.AREP.xml;Re.ccECP.SOREP.rpt;Re.ccECP.SOREP.upf;Re.ccECP.SOREP.xml;Re.ccECP.dirac;autoauxc_jobs
Rh,45,recipes/Rh/ccECP,ccECP,gamess=Rh.ccECP.gamess;gaussian=Rh.ccECP.gaussian;molpro=Rh.ccECP.molpro;nwchem=Rh.ccECP.nwchem,Rh.ccECP.gamess,28,17,3,f,s-f;p-f;d-f,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Rh.ccECP.AREP.rpt;Rh.ccECP.AREP.upf;Rh.ccECP.AREP.xml;Rh.ccECP.SOREP.rpt;Rh.ccECP.SOREP.upf;Rh.ccECP.SOREP.xml;Rh.ccECP.dirac;autoauxc_jobs
Ru,44,recipes/Ru/ccECP,ccECP,gamess=Ru.ccECP.gamess;gaussian=Ru.ccECP.gaussian;molpro=Ru.ccECP.molpro;nwchem=Ru.ccECP.nwchem,Ru.ccECP.gamess,28,16,3,f,s-f;p-f;d-f,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ru.ccECP.AREP.rpt;Ru.ccECP.AREP.upf;Ru.ccECP.AREP.xml;Ru.ccECP.SOREP.rpt;Ru.ccECP.SOREP.upf;Ru.ccECP.SOREP.xml;Ru.ccECP.dirac;autoauxc_jobs
S,16,recipes/S/ccECP,ccECP,gamess=S.ccECP.gamess;gaussian=S.ccECP.gaussian;molpro=S.ccECP.molpro;nwchem=S.ccECP.nwchem,S.ccECP.gamess,10,6,2,d,s-d;p-d,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: S.ccECP.rpt;S.ccECP.upf;S.ccECP.xml;autoauxc_jobs
