filename,element,orbital_basis,origin,source,n_functions,composition,max_L,sha256_16
Nb.cc-pVDZ.AutoAuxC.orca,Nb,cc-pVDZ,library,recipes/Nb/ccECP/Nb.cc-pVDZ.AutoAuxC.orca,51,S12 P10 D9 F9 G9 H2,h,9c85489e8dbb0d14
Nb.cc-pVQZ.AutoAuxC.orca,Nb,cc-pVQZ,library,recipes/Nb/ccECP/Nb.cc-pVQZ.AutoAuxC.orca,71,S14 P12 D11 F11 G11 H5 I4 K3,k,36df92ed0e0e1882
Nb.cc-pVTZ.AutoAuxC.orca,Nb,cc-pVTZ,library,recipes/Nb/ccECP/Nb.cc-pVTZ.AutoAuxC.orca,61,S13 P11 D10 F10 G10 H4 I3,i,e853a21269f64f4c
Ne.cc-pV5Z.AutoAuxC.orca,Ne,cc-pV5Z,library,recipes/Ne/ccECP/Ne.cc-pV5Z.AutoAuxC.orca,55,S13 P12 D12 F6 G5 H4 I3,i,a27f775d917abb5d
Ne.cc-pV6Z.AutoAuxC.orca,Ne,cc-pV6Z,library,recipes/Ne/ccECP/Ne.cc-pV6Z.AutoAuxC.orca,62,S13 P12 D12 F6 G6 H5 I4 K4,k,e247f42986f4a7b1
Ne.cc-pVDZ.AutoAuxC.orca,Ne,cc-pVDZ,library,recipes/Ne/ccECP/Ne.cc-pVDZ.AutoAuxC.orca,33,S12 P10 D9 F2,f,9e56ae59ae22fa6e
Ne.cc-pVQZ.AutoAuxC.orca,Ne,cc-pVQZ,library,recipes/Ne/ccECP/Ne.cc-pVQZ.AutoAuxC.orca,48,S13 P12 D11 F5 G4 H3,h,12166dbe7caf6dd6
Ne.cc-pVTZ.AutoAuxC.orca,Ne,cc-pVTZ,library,recipes/Ne/ccECP/Ne.cc-pVTZ.AutoAuxC.orca,41,S13 P11 D10 F4 G3,g,8f339ce4148fe78d
Ni.aug-cc-pCV5Z.AutoAuxC.orca,Ni,aug-cc-pCV5Z,library,recipes/Ni/ccECP/Ni.aug-cc-pCV5Z.AutoAuxC.orca,93,S18 P16 D15 F14 G13 H7 I5 K5,k,42ab48b908d2ab56
Ni.aug-cc-pCVDZ.AutoAuxC.orca,Ni,aug-cc-pCVDZ,library,recipes/Ni/ccECP/Ni.aug-cc-pCVDZ.AutoAuxC.orca,76,S17 P15 D14 F13 G12 H5,h,88d3bdd840a1edc1
Ni.aug-cc-pCVQZ.AutoAuxC.orca,Ni,aug-cc-pCVQZ,library,recipes/Ni/ccECP/Ni.aug-cc-pCVQZ.AutoAuxC.orca,90,S18 P16 D14 F13 G13 H7 I5 K4,k,b35e2ad6a8555300
Ni.aug-cc-pCVTZ.AutoAuxC.orca,Ni,aug-cc-pCVTZ,library,recipes/Ni/ccECP/Ni.aug-cc-pCVTZ.AutoAuxC.orca,85,S18 P16 D14 F13 G13 H6 I5,i,e873edfe224f7d8b
Ni.aug-cc-pV5Z.AutoAuxC.orca,Ni,aug-cc-pV5Z,library,recipes/Ni/ccECP/Ni.aug-cc-pV5Z.AutoAuxC.orca,93,S18 P16 D15 F14 G13 H7 I5 K5,k,42ab48b908d2ab56
Ni.aug-cc-pVDZ.AutoAuxC.orca,Ni,aug-cc-pVDZ,library,recipes/Ni/ccECP/Ni.aug-cc-pVDZ.AutoAuxC.orca,65,S15 P13 D12 F11 G10 H4,h,b693555966ca128a
Ni.aug-cc-pVQZ.AutoAuxC.orca,Ni,aug-cc-pVQZ,library,recipes/Ni/ccECP/Ni.aug-cc-pVQZ.AutoAuxC.orca,86,S17 P15 D14 F13 G12 H6 I5 K4,k,713e9d61a841f8f4
Ni.aug-cc-pVTZ.AutoAuxC.orca,Ni,aug-cc-pVTZ,library,recipes/Ni/ccECP/Ni.aug-cc-pVTZ.AutoAuxC.orca,76,S17 P14 D13 F12 G11 H5 I4,i,964f6f1e58f05c8d
Ni.cc-pCV5Z.AutoAuxC.orca,Ni,cc-pCV5Z,library,recipes/Ni/ccECP/Ni.cc-pCV5Z.AutoAuxC.orca,82,S16 P15 D13 F12 G12 H6 I4 K4,k,016cebb3e5767520
Ni.cc-pCVDZ.AutoAuxC.orca,Ni,cc-pCVDZ,library,recipes/Ni/ccECP/Ni.cc-pCVDZ.AutoAuxC.orca,70,S16 P14 D13 F12 G11 H4,h,a2650ec02b0ac3f7
Ni.cc-pCVQZ.AutoAuxC.orca,Ni,cc-pCVQZ,library,recipes/Ni/ccECP/Ni.cc-pCVQZ.AutoAuxC.orca,78,S16 P14 D13 F12 G11 H5 I4 K3,k,34c66f34cccf1930
Ni.cc-pCVTZ.AutoAuxC.orca,Ni,cc-pCVTZ,library,recipes/Ni/ccECP/Ni.cc-pCVTZ.AutoAuxC.orca,74,S16 P14 D13 F12 G11 H5 I3,i,002e1f9758c82c19
Ni.cc-pV5Z.AutoAuxC.orca,Ni,cc-pV5Z,library,recipes/Ni/ccECP/Ni.cc-pV5Z.AutoAuxC.orca,82,S16 P15 D13 F12 G12 H6 I4 K4,k,016cebb3e5767520
Ni.cc-pVDZ.AutoAuxC.orca,Ni,cc-pVDZ,library,recipes/Ni/ccECP/Ni.cc-pVDZ.AutoAuxC.orca,58,S14 P12 D11 F10 G9 H2,h,9f25d8d65877ae62
Ni.cc-pVQZ.AutoAuxC.orca,Ni,cc-pVQZ,library,recipes/Ni/ccECP/Ni.cc-pVQZ.AutoAuxC.orca,78,S16 P14 D13 F12 G11 H5 I4 K3,k,34c66f34cccf1930
Ni.cc-pVTZ.AutoAuxC.orca,Ni,cc-pVTZ,library,recipes/Ni/ccECP/Ni.cc-pVTZ.AutoAuxC.orca,68,S15 P13 D12 F11 G10 H4 I3,i,30f571eb12f8c75f
O.aug-cc-pV5Z.AutoAuxC.orca,O,aug-cc-pV5Z,library,recipes/O/ccECP/O.aug-cc-pV5Z.AutoAuxC.orca,57,S13 P12 D11 F6 G6 H5 I4,i,51dcdd407d808639
O.aug-cc-pV6Z.AutoAuxC.orca,O,aug-cc-pV6Z,library,recipes/O/ccECP/O.aug-cc-pV6Z.AutoAuxC.orca,69,S14 P13 D13 F7 G7 H6 I5 K4,k,0264bb69d9e41e37
O.aug-cc-pVDZ.AutoAuxC.orca,O,aug-cc-pVDZ,library,recipes/O/ccECP/O.aug-cc-pVDZ.AutoAuxC.orca,31,S11 P9 D8 F3,f,69e5ccfa3d2f0212
O.aug-cc-pVQZ.AutoAuxC.orca,O,aug-cc-pVQZ,library,recipes/O/ccECP/O.aug-cc-pVQZ.AutoAuxC.orca,52,S13 P12 D11 F6 G5 H5,h,9af4bf852c3e8253
O.aug-cc-pVTZ.AutoAuxC.orca,O,aug-cc-pVTZ,library,recipes/O/ccECP/O.aug-cc-pVTZ.AutoAuxC.orca,43,S13 P11 D10 F5 G4,g,0eeb7ce60376c3d8
O.cc-pV5Z.AutoAuxC.orca,O,cc-pV5Z,library,recipes/O/ccECP/O.cc-pV5Z.AutoAuxC.orca,53,S13 P12 D11 F5 G5 H4 I3,i,144b634db1463be1
O.cc-pV6Z.AutoAuxC.orca,O,cc-pV6Z,library,recipes/O/ccECP/O.cc-pV6Z.AutoAuxC.orca,62,S13 P12 D12 F6 G6 H5 I4 K4,k,cd5b96533aa78cc0
O.cc-pVDZ.AutoAuxC.orca,O,cc-pVDZ,library,recipes/O/ccECP/O.cc-pVDZ.AutoAuxC.orca,30,S11 P9 D8 F2,f,540e1f338f8f3352
O.cc-pVQZ.AutoAuxC.orca,O,cc-pVQZ,library,recipes/O/ccECP/O.cc-pVQZ.AutoAuxC.orca,46,S13 P11 D10 F5 G4 H3,h,8d7055e1b6bf81a3
O.cc-pVTZ.AutoAuxC.orca,O,cc-pVTZ,library,recipes/O/ccECP/O.cc-pVTZ.AutoAuxC.orca,40,S12 P11 D10 F4 G3,g,10dc1f7cdf924a00
P.aug-cc-pV5Z.AutoAuxC.orca,P,aug-cc-pV5Z,library,recipes/P/ccECP/P.aug-cc-pV5Z.AutoAuxC.orca,55,S11 P11 D11 F7 G6 H5 I4,i,dc0286fb93435c62
P.aug-cc-pV6Z.AutoAuxC.orca,P,aug-cc-pV6Z,library,recipes/P/ccECP/P.aug-cc-pV6Z.AutoAuxC.orca,60,S11 P11 D11 F7 G7 H5 I4 K4,k,2b8bae75b00f7979
P.aug-cc-pVDZ.AutoAuxC.orca,P,aug-cc-pVDZ,library,recipes/P/ccECP/P.aug-cc-pVDZ.AutoAuxC.orca,30,S10 P9 D8 F3,f,e68bf3aca06200e0
P.aug-cc-pVQZ.AutoAuxC.orca,P,aug-cc-pVQZ,library,recipes/P/ccECP/P.aug-cc-pVQZ.AutoAuxC.orca,46,S10 P10 D10 F6 G5 H5,h,9f9df15e110633f3
P.aug-cc-pVTZ.AutoAuxC.orca,P,aug-cc-pVTZ,library,recipes/P/ccECP/P.aug-cc-pVTZ.AutoAuxC.orca,38,S10 P10 D9 F5 G4,g,c50dc54198bbe127
P.cc-pV5Z.AutoAuxC.orca,P,cc-pV5Z,library,recipes/P/ccECP/P.cc-pV5Z.AutoAuxC.orca,48,S10 P10 D10 F6 G5 H4 I3,i,ad695cfbfea370ae
